method,ratio,record_id,query,answer,error
KVzip,0.4,0,Does this painting depict Madonna and Child?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict more than two people?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict more than three people?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict saints identifiable by their halos?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict a scene in which death is a dominant theme?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict a religious scene?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting show a still life?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict a scene of war?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict an angel with wings?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Does this painting depict a crucifixion scene?,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Extract the number of people depicted in this painting.,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,"Extract the primary background color of this painting. Choose from Red, Blue, Yellow, Green, Orange, Purple, Black, White.",,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Extract the number of saints with halos from this painting.,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
KVzip,0.4,0,Extract the number of animals from this painting.,,[Errno 2] No such file or directory: '/content/CompressionExperiments/experiment_manager/datasets/artwork/images/Palma il Vecchio - Judith - WGA16936.jpg'
