_index_artworks,title,inception,movement,genre,answer
0,judith,1525-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/palma%20il%20vecchio%20-%20judith%20-%20wga16936.jpg
1,die durch engel bekrönte muttergottes mit kind im kreise der 14 schutzheiligen des hauses zimmern,1536-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/meister%20von%20me%c3%9fkirch-wildensteiner%20altar-mitteltafel-0014.jpg
2,der kniende stifter graf gottfried werner von zimmern – christus am ölberg,1536-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/meister%20von%20me%c3%9fkirch-wildensteiner%20altar-drehfl%c3%bcgel%20links-offen0004.jpg
3,die kniende stifterin gräfin apollonia von henneberg – christus am ölberg,1536-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/meister%20von%20me%c3%9fkirch-wildensteiner%20altar-drehfl%c3%bcgel%20rechts-offen0005.jpg
5,the capture of christ,1536-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/meister%20von%20me%c3%9fkirch-wildensteiner%20altar-standfl%c3%bcgel%20links-rechts-geschlossen-0016.jpg
12,christ of the mercy,1475-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20crist%20de%20la%20pietat%204106.jpg
13,death and assumption of the virgin mary,1472-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20mort%20assumpci%c3%b3%20maria%204105.jpg
21,calvary from altarpiece of sainte engratia from altarpiece of sainte engratia,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.sta.engracia%20crucifixio%204122.jpg
30,descent from the cross,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/descendimiento%2c%20de%20bartolom%c3%a9%20bermejo%20y%20mart%c3%adn%20bernat%20%28museo%20de%20zaragoza%29.jpg
32,q61965321,1477-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20santa%20fa%c3%a7%204148.jpg
33,triptych of the virgin of montserrat1,1483-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/b.bermejo%20ret.montserrat%20anunciacio-tancat%204149.jpg
36,calavera,1600-01-01 00:00:00+00:00,renaissance,portrait,/root/.reasondb/cache/artwork_random_dev/artworks_files/juan%20de%20juanes%20-%20in%20omnibus%20operibus.jpg
40,saint john the baptist by ercole de roberti,1480-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/johannes%20der%20t%c3%a4ufer%20-%20gem%c3%a4ldegalerie%20berlin%20-%204280678.jpg
47,the death of marat,1793-10-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/jacques-louis%20david%20-%20marat%20assassinated%20-%20google%20art%20project%202.jpg
53,the death of general wolfe,1770-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/benjamin%20west%20005.jpg
57,the intervention of the sabine women,1799-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/f0440%20louvre%20jl%20david%20sabines%20inv3691%20rwk.jpg
63,the lictors bring to brutus the bodies of his sons,1789-01-01 00:00:00+00:00,neoclassicism,history painting,/root/.reasondb/cache/artwork_random_dev/artworks_files/david%20brutus.jpg
64,predella of the barbadori altarpiece,1438-01-01 00:00:00+00:00,renaissance,religious art,/root/.reasondb/cache/artwork_random_dev/artworks_files/predella%20pala%20barbadori-%20uffizi.jpg
